month_date,efc_metro,wod_trail,wfc_metro,founders_row,eden_center,n_oak_w_broad,penn_park,e_fairfax_s_wash,w_broad_little,n_roosevelt,s_maple_s_wash,city_hall,w_columbia_n_wash
2019-05,236.0,,15.0,,,58.0,59.0,56.0,40.0,47.0,64.0,51.0,57.0
2019-06,346.0,,18.0,,,65.0,69.0,93.0,71.0,93.0,97.0,74.0,76.0
2019-07,326.0,,40.0,,,49.0,45.0,67.0,66.0,84.0,67.0,43.0,69.0
2019-08,356.0,,39.0,,,64.0,40.0,59.0,76.0,89.0,69.0,31.0,48.0
2019-09,348.0,,37.0,,,57.0,45.0,60.0,76.0,94.0,52.0,71.0,73.0
2019-10,342.0,,17.0,,,59.0,55.0,52.0,47.0,91.0,46.0,43.0,63.0
2019-11,236.0,,9.0,,,28.0,43.0,22.0,37.0,73.0,22.0,35.0,31.0
2019-12,172.0,,8.0,,,18.0,21.0,18.0,19.0,50.0,21.0,25.0,21.0
2020-01,190.0,,11.0,,,20.0,33.0,13.0,25.0,47.0,21.0,19.0,38.0
2020-02,170.0,,16.0,,,27.0,29.0,20.0,26.0,58.0,18.0,21.0,20.0
2020-03,172.0,,15.0,,,46.0,30.0,20.0,18.0,54.0,40.0,21.0,36.0
2020-04,94.0,,13.0,,,55.0,29.0,4.0,18.0,20.0,29.0,9.0,33.0
2020-05,145.0,,17.0,,,26.0,24.0,28.0,26.0,72.0,40.0,3.0,43.0
2020-06,178.0,,11.0,,,72.0,54.0,21.0,18.0,97.0,26.0,20.0,41.0
2020-07,150.0,,22.0,,,41.0,27.0,40.0,60.0,66.0,34.0,33.0,53.0
2020-08,151.0,,21.0,,,55.0,54.0,39.0,48.0,97.0,40.0,38.0,56.0
2020-09,149.0,,26.0,,,75.0,38.0,57.0,30.0,90.0,19.0,39.0,58.0
2020-10,106.0,,18.0,,,51.0,50.0,29.0,43.0,51.0,29.0,39.0,44.0
2020-11,78.0,,13.0,,,38.0,37.0,22.0,31.0,30.0,48.0,34.0,38.0
2020-12,37.0,,9.0,,,37.0,19.0,12.0,23.0,23.0,36.0,6.0,29.0
2021-01,30.0,,6.0,,,20.0,14.0,10.0,21.0,25.0,49.0,14.0,22.0
2021-02,37.0,,,,,11.0,14.0,12.0,11.0,24.0,35.0,7.0,13.0
2021-03,70.0,,7.0,,,23.0,23.0,15.0,34.0,63.0,39.0,23.0,30.0
2021-04,118.0,,7.0,,,32.0,41.0,12.0,43.0,64.0,57.0,27.0,37.0
2021-05,166.0,,22.0,,,59.0,34.0,20.0,47.0,49.0,59.0,35.0,41.0
2021-06,142.0,,24.0,,,60.0,56.0,18.0,32.0,60.0,45.0,54.0,52.0
2021-07,184.0,,29.0,,,52.0,61.0,28.0,55.0,82.0,81.0,33.0,59.0
2021-08,172.0,,21.0,,,27.0,29.0,12.0,58.0,58.0,64.0,29.0,38.0
2021-09,223.0,1.0,14.0,,,69.0,35.0,39.0,37.0,77.0,78.0,33.0,57.0
2021-10,178.0,52.0,13.0,,,44.0,28.0,25.0,46.0,59.0,45.0,44.0,31.0
2021-11,130.0,40.0,10.0,,,28.0,25.0,25.0,31.0,48.0,38.0,24.0,12.0
2021-12,97.0,27.0,20.0,,,23.0,19.0,22.0,36.0,31.0,26.0,20.0,14.0
2022-01,47.0,13.0,17.0,,,8.0,8.0,11.0,6.0,10.0,11.0,14.0,10.0
2022-02,85.0,26.0,14.0,,,19.0,16.0,13.0,24.0,31.0,16.0,15.0,10.0
2022-03,149.0,62.0,9.0,,,49.0,24.0,30.0,36.0,39.0,58.0,16.0,17.0
2022-04,156.0,64.0,6.0,,,61.0,38.0,35.0,39.0,52.0,43.0,26.0,21.0
2022-05,231.0,103.0,17.0,,,63.0,41.0,35.0,54.0,59.0,92.0,43.0,26.0
2022-06,250.0,130.0,20.0,,8.0,51.0,45.0,46.0,63.0,82.0,47.0,52.0,50.0
2022-07,204.0,132.0,28.0,,50.0,72.0,66.0,36.0,38.0,62.0,80.0,40.0,39.0
2022-08,260.0,138.0,27.0,,43.0,98.0,43.0,41.0,67.0,68.0,66.0,58.0,65.0
2022-09,282.0,117.0,27.0,,40.0,77.0,56.0,42.0,53.0,68.0,60.0,44.0,36.0
2022-10,224.0,93.0,27.0,,41.0,64.0,37.0,28.0,39.0,39.0,52.0,40.0,43.0
2022-11,184.0,68.0,12.0,,35.0,42.0,47.0,26.0,52.0,22.0,34.0,49.0,35.0
2022-12,101.0,49.0,10.0,17.0,16.0,21.0,23.0,16.0,21.0,10.0,27.0,17.0,19.0
2023-01,159.0,83.0,7.0,33.0,24.0,27.0,31.0,23.0,37.0,33.0,49.0,25.0,54.0
2023-02,160.0,54.0,15.0,31.0,11.0,24.0,22.0,38.0,40.0,35.0,42.0,31.0,24.0
2023-03,214.0,87.0,32.0,42.0,44.0,20.0,25.0,36.0,39.0,56.0,61.0,43.0,40.0
2023-04,261.0,108.0,40.0,82.0,47.0,51.0,54.0,43.0,48.0,90.0,53.0,58.0,35.0
2023-05,357.0,146.0,50.0,185.0,57.0,52.0,53.0,37.0,53.0,83.0,98.0,73.0,66.0
2023-06,222.0,127.0,31.0,120.0,39.0,42.0,46.0,38.0,64.0,55.0,67.0,61.0,66.0
2023-07,323.0,135.0,67.0,118.0,71.0,55.0,62.0,31.0,59.0,64.0,87.0,71.0,69.0
2023-08,374.0,143.0,54.0,96.0,82.0,51.0,61.0,37.0,63.0,155.0,86.0,94.0,81.0
2023-09,328.0,102.0,48.0,82.0,65.0,51.0,53.0,26.0,57.0,119.0,71.0,63.0,56.0
